ensembl_gene_id	gene_id	symbol	type
NA	850994	RPS30A	protein-coding
NA	850995	MEC3	protein-coding
NA	850996	GUF1	protein-coding
NA	850997	COQ11	protein-coding
NA	850998	GCD7	protein-coding
NA	850999	SEC72	protein-coding
NA	851000	GSP1	protein-coding
NA	851002	ATP14	protein-coding
NA	851003	YLR296W	protein-coding
NA	851004	YLR297W	protein-coding
NA	851005	YHC1	protein-coding
NA	851006	ECM38	protein-coding
NA	851007	EXG1	protein-coding
NA	851008	HRI1	protein-coding
NA	851009	tL(UAG)L2	tRNA
NA	851010	MET17	protein-coding
NA	851011	YLR302C	protein-coding
NA	851012	tI(AAU)L1	tRNA
NA	851013	ACO1	protein-coding
NA	851014	STT4	protein-coding
NA	851015	UBC12	protein-coding
NA	851016	CDA1	protein-coding
NA	851017	CDA2	protein-coding
NA	851018	IMH1	protein-coding
NA	851019	CDC25	protein-coding
NA	851021	ATG39	protein-coding
NA	851022	MRPL15	protein-coding
NA	851023	SPH1	protein-coding
NA	851024	CDC3	protein-coding
NA	851025	NKP2	protein-coding
NA	851027	TAD3	protein-coding
NA	851028	EST2	protein-coding
NA	851029	BUD6	protein-coding
NA	851030	MMS22	protein-coding
NA	851032	SFH1	protein-coding
NA	851033	CWC24	protein-coding
NA	851034	PEX30	protein-coding
NA	851035	RPL38	protein-coding
NA	851036	YLR326W	protein-coding
NA	851037	TMA10	protein-coding
NA	851038	tX(XXX)L	tRNA
NA	851039	NMA1	protein-coding
NA	851040	REC102	protein-coding
NA	851041	CHS5	protein-coding
NA	851042	MID2	protein-coding
NA	851043	JIP3	protein-coding
NA	851044	tD(GUC)L2	tRNA
NA	851045	RPS25B	protein-coding
NA	851047	tE(UUC)L	tRNA
NA	851048	NUP2	protein-coding
NA	851049	SGD1	protein-coding
NA	851051	VRP1	protein-coding
NA	851052	RPP0	protein-coding
NA	851054	SPO77	protein-coding
NA	851055	FKS1	protein-coding
NA	851056	GAS2	protein-coding
NA	851057	TRR4	tRNA
NA	851058	RPL26A	protein-coding
NA	851059	YLR345W	protein-coding
NA	851060	CIS1	protein-coding
NA	851061	KAP95	protein-coding
NA	851063	DIC1	protein-coding
NA	851064	ORM2	protein-coding
NA	851065	NIT3	protein-coding
NA	851066	YLR352W	protein-coding
NA	851067	BUD8	protein-coding
NA	851068	TAL1	protein-coding
NA	851069	ILV5	protein-coding
NA	851070	ATG33	protein-coding
NA	851071	RSC2	protein-coding
NA	851072	YLR358C	protein-coding
NA	851073	ADE13	protein-coding
NA	851074	VPS38	protein-coding
NA	851075	DCR2	protein-coding
NA	851076	STE11	protein-coding
NA	851077	NMD4	protein-coding
NA	851078	YLR363W-A	protein-coding
NA	851079	GRX8	protein-coding
NA	851080	YLR365W	protein-coding
NA	851082	RPS22B	protein-coding
NA	851083	MDM30	protein-coding
NA	851084	SSQ1	protein-coding
NA	851085	ARC18	protein-coding
NA	851086	ROM2	protein-coding
NA	851087	ELO3	protein-coding
NA	851088	VID22	protein-coding
NA	851089	STP3	protein-coding
NA	851091	PSY3	protein-coding
NA	851092	FBP1	protein-coding
NA	851093	tK(UUU)L	tRNA
NA	851095	SEC61	protein-coding
NA	851096	CSR1	protein-coding
NA	851097	CTF3	protein-coding
NA	851098	NAM2	protein-coding
NA	851099	SMC6	protein-coding
NA	851100	IKI3	protein-coding
NA	851101	SWC7	protein-coding
NA	851102	VAC14	protein-coding
NA	851103	REH1	protein-coding
NA	851104	RPS29A	protein-coding
NA	851105	STE23	protein-coding
NA	851106	ECM19	protein-coding
NA	851107	CCW14	protein-coding
NA	851108	ART10	protein-coding
NA	851109	ATP10	protein-coding
NA	851110	CST9	protein-coding
NA	851111	COX8	protein-coding
