tissue	size
human--GEO--GSE51092	222
human--GEO--GSE51105	94
human--GEO--GSE51254	107
human--GEO--GSE51528	229
human--GEO--GSE51739	88
human--GEO--GSE51981	146
human--GEO--GSE52005	140
human--GEO--GSE52009	120
human--GEO--GSE5206	105
human--GEO--GSE52166	194
human--GEO--GSE52245	90
human--GEO--GSE52390	79
human--GEO--GSE52428	649
human--GEO--GSE52529	353
human--GEO--GSE5258	218
human--GEO--GSE52724	286
human--GEO--GSE5272	250
human--GEO--GSE53031	167
human--GEO--GSE53091	125
human--GEO--GSE53166	113
human--GEO--GSE53195	857
human--GEO--GSE53232	128
human--GEO--GSE5325	105
human--GEO--GSE53351	301
human--GEO--GSE53399	120
human--GEO--GSE53471	113
human--GEO--GSE53515	116
human--GEO--GSE53543	196
human--GEO--GSE53552	99
human--GEO--GSE5364-breast	196
human--GEO--GSE5364-thyroid	51
human--GEO--GSE53757	144
human--GEO--GSE53791	64
human--GEO--GSE53922	112
human--GEO--GSE53963	174
human--GEO--GSE53987-hippocampus	68
human--GEO--GSE53987-prefrontalcortex	68
human--GEO--GSE53987-striatum	69
human--GEO--GSE54002	433
human--GEO--GSE54004	144
human--GEO--GSE5406	210
human--GEO--GSE54129	132
human--GEO--GSE54236	161
human--GEO--GSE54254	96
human--GEO--GSE54275	233
human--GEO--GSE54279	128
human--GEO--GSE54329	335
human--GEO--GSE54331	335
human--GEO--GSE54460	100
human--GEO--GSE54514	163
human--GEO--GSE54532	132
human--GEO--GSE5460	129
human--GEO--GSE54629	138
human--GEO--GSE5462	116
human--GEO--GSE54644	104
human--GEO--GSE54648	186
human--GEO--GSE54837	226
human--GEO--GSE55092	140
human--GEO--GSE55231	129
human--GEO--GSE55276	120
human--GEO--GSE55277	120
human--GEO--GSE55288	92
human--GEO--GSE55447	208
human--GEO--GSE55962	106
human--GEO--GSE56033	499
human--GEO--GSE56034	485
human--GEO--GSE56045	1202
human--GEO--GSE56315	88
human--GEO--GSE56396	112
human--GEO--GSE56493	120
human--GEO--GSE56580	214
human--GEO--GSE56609	92
human--GEO--GSE56716	112
human--GEO--GSE56744	88
human--GEO--GSE56754	132
human--GEO--GSE56766	206
human--GEO--GSE56767	229
human--GEO--GSE56768	435
human--GEO--GSE5678	130
human--GEO--GSE56803	138
human--GEO--GSE56931	248
human--GEO--GSE56960	168
human--GEO--GSE57025	191
human--GEO--GSE57065	107
human--GEO--GSE57083-breast	69
human--GEO--GSE57083-colon	91
human--GEO--GSE57083-hematopoieticsystem	123
human--GEO--GSE57083-lung	105
human--GEO--GSE57083-pancreas	41
human--GEO--GSE57148	167
human--GEO--GSE57338	313
human--GEO--GSE57341-breastcancer	101
human--GEO--GSE57341-coloncancer	78
human--GEO--GSE57341-ovariancancer	43
human--GEO--GSE57405	111
human--GEO--GSE57475	142
human--GEO--GSE57595	105
human--GEO--GSE57611	148
human--GEO--GSE57802	96
human--GEO--GSE57945	318
human--GEO--GSE58037	114
human--GEO--GSE58095	98
human--GEO--GSE58133	120
human--GEO--GSE58135	163
human--GEO--GSE58137	106
human--GEO--GSE58211	300
human--GEO--GSE58212	277
human--GEO--GSE58294	92
human--GEO--GSE58331-anteriororbit	102
human--GEO--GSE58331-lacrimalgland	73
human--GEO--GSE58399	105
human--GEO--GSE58401	130
human--GEO--GSE58411	107
human--GEO--GSE5847	95
human--GEO--GSE58558	109
human--GEO--GSE58559	170
human--GEO--GSE58613	264
human--GEO--GSE58636	177
human--GEO--GSE58644	321
human--GEO--GSE58661	89
human--GEO--GSE58697	121
human--GEO--GSE58812	107
human--GEO--GSE58831	176
human--GEO--GSE58942	145
human--GEO--GSE58970	147
human--GEO--GSE58984	94
human--GEO--GSE59071	116
human--GEO--GSE59206	198
human--GEO--GSE59368	145
human--GEO--GSE59455	134
human--GEO--GSE59590	175
human--GEO--GSE59612	91
human--GEO--GSE59630	116
human--GEO--GSE59654	156
human--GEO--GSE59743	120
human--GEO--GSE5975	238
human--GEO--GSE59857	155
human--GEO--GSE59867	436
human--GEO--GSE60052	84
human--GEO--GSE6008	103
human--GEO--GSE60190	133
human--GEO--GSE60244	158
human--GEO--GSE60329	136
human--GEO--GSE60408	864
human--GEO--GSE60542	92
human--GEO--GSE60644	117
human--GEO--GSE60690	754
human--GEO--GSE60767	466
